address,best,bin,building_id,building_name,distance_m,district,footprint_area,footprint_verts,height_source,is_context,lat,lod_tier,lon,min_height,osm_building_type,osm_id,osm_levels,osm_type,postcode,roof_height,second,x_m,y_m
168 East 95th Street,0.989,1048438,26460,,0.9,Upper East Side,82.8,4,tag,0,40.7847363,block,-73.9507887,0.0,yes,266919642,,way,10128,13.9,0.937,1450.81,523.71
,0.847,1051777,26588,,8.3,Yorkville / Carnegie Hill,129.7,6,tag,0,40.7878746,block,-73.948252,0.0,yes,266924347,,way,,7.4,0.835,1664.64,870.73
1261 Park Avenue,0.939,1051722,26604,,1.2,Yorkville / Carnegie Hill,169.8,14,tag,0,40.7873642,block,-73.9515005,0.0,yes,266924649,,way,10029,21.5,0.897,1390.81,814.29
121 East 95th Street,0.989,1048505,26617,,0.9,Yorkville / Carnegie Hill,75.8,4,tag,0,40.7856842,block,-73.952142,0.0,yes,266924946,,way,10128,14.3,0.93,1336.74,628.52
125 East 95th Street,0.988,1048484,26619,,0.9,Yorkville / Carnegie Hill,85.1,5,tag,0,40.7856476,block,-73.9520356,0.0,yes,266924948,,way,10128,16.5,0.931,1345.7,624.47
135 East 95th Street,0.988,1048487,26628,,0.9,Yorkville / Carnegie Hill,81.8,4,tag,0,40.7855279,block,-73.9517693,0.0,yes,266924958,,way,10128,14.0,0.935,1368.15,611.25
112 East 95th Street,0.989,1048477,26639,,0.9,Yorkville / Carnegie Hill,75.3,4,tag,0,40.7855289,block,-73.9526923,0.0,yes,266925068,,way,10128,14.2,0.934,1290.34,611.36
120 East 95th Street,0.989,1048455,26643,,0.9,Yorkville / Carnegie Hill,101.1,6,tag,0,40.7854289,block,-73.9524599,0.0,yes,266925072,,way,10128,13.7,0.931,1309.94,600.3
131 East 94th Street,0.989,1048463,26660,,0.9,Upper East Side,75.2,4,tag,0,40.7849409,block,-73.9523384,0.0,yes,266925089,,way,10128,14.0,0.933,1320.18,546.34
132 East 95th Street,0.989,1048451,26661,,0.9,Yorkville / Carnegie Hill,85.5,4,tag,0,40.7852857,block,-73.9521039,0.0,yes,266925090,,way,10128,13.4,0.935,1339.95,584.47
133 East 94th Street,0.989,1048417,26662,,0.9,Upper East Side,73.4,4,tag,0,40.7849187,block,-73.9522853,0.0,yes,266925091,,way,10128,14.0,0.933,1324.65,543.88
1464 Lexington Avenue,0.989,1048472,26674,,0.9,Yorkville / Carnegie Hill,132.1,5,tag,0,40.7850664,block,-73.9518384,0.0,yes,266925103,,way,10128,13.5,0.931,1362.33,560.21
121 East 92nd Street,0.988,1048337,26685,,0.9,Upper East Side,62.0,5,tag,0,40.7837053,block,-73.9532842,0.0,yes,266925401,,way,10128,12.7,0.95,1240.45,409.7
122 East 93rd Street,0.989,1048383,26686,,0.9,Upper East Side,64.5,5,tag,0,40.7840859,block,-73.9531334,0.0,yes,266925402,,way,10128,14.4,0.933,1253.16,451.79
123 East 92nd Street,0.989,1048373,26687,,0.9,Upper East Side,63.3,4,tag,0,40.7836825,block,-73.9532479,0.0,yes,266925403,,way,10128,12.1,0.933,1243.51,407.19
1309 Madison Avenue,0.989,1085207,26696,,0.9,Yorkville / Carnegie Hill,91.1,7,tag,0,40.7850101,block,-73.9554901,0.0,yes,266925415,,way,10128,16.4,0.93,1054.51,553.98
53 East 92nd Street,0.897,1047069,26704,,5.5,Upper East Side,102.2,6,tag,0,40.7845915,block,-73.9553534,0.0,yes,266925428,,way,10128,17.0,0.864,1066.03,507.7
61 East 92nd Street,0.989,1047072,26710,,0.9,Upper East Side,90.6,5,tag,0,40.7844944,block,-73.9551414,0.0,yes,266925436,,way,10128,17.0,0.941,1083.9,496.96
63 East 92nd Street,0.988,1047073,26711,,0.9,Upper East Side,90.6,4,tag,0,40.7844737,block,-73.9550852,0.0,yes,266925437,,way,10128,14.2,0.929,1088.64,494.67
1149 Park Avenue,0.988,1048289,26738,,0.9,Upper East Side,110.5,5,tag,0,40.7834829,block,-73.954357,0.0,yes,266925691,,way,10128,13.8,0.94,1150.02,385.12
115 East 91st Street,0.988,1048293,26740,,0.9,Upper East Side,77.8,4,tag,0,40.7831954,block,-73.9539996,0.0,yes,266925693,,way,10128,11.8,0.934,1180.15,353.33
117 East 91st Street,0.989,1048294,26743,,0.9,Upper East Side,75.1,4,tag,0,40.7831753,block,-73.953952,0.0,yes,266925696,,way,10128,12.1,0.949,1184.16,351.11
119 East 91st Street,0.988,1048328,26746,,0.9,Upper East Side,75.5,4,tag,0,40.7831555,block,-73.9539052,0.0,yes,266925699,,way,10128,12.3,0.935,1188.11,348.92
121 East 91st Street,0.988,1048329,26748,,0.9,Upper East Side,82.4,5,tag,0,40.7831347,block,-73.9538561,0.0,yes,266925701,,way,10128,15.2,0.942,1192.25,346.62
